seq	lat	long
1	-99.205	19.43
2	-99.18	19.44
3	-99.135	19.435
4	-99.17	19.395
5	-99.18	19.395
6	-99.17	19.43
7	-99.27	19.37
8	-99.165	19.43
9	-99.18	19.435
10	-99.15	19.425
11	-99.2	19.445
12	-99.215	19.435
13	-99.19	19.305
14	-99.165	19.37
15	-99.095	19.385
16	-99.21	19.44
17	-99.205	19.44
18	-99.13	19.485
19	-99.12	19.48
20	-99.155	19.395
21	-99.17	41.748
22	-99.18	19.375
23	-99.17	19.425
24	-99.26	19.365
25	-99.135	19.43
26	-99.16	19.43
27	-99.2	19.43
28	-99.175	19.395
29	-99.18	19.345
30	-99.24	19.385
31	-99.205	19.34
32	-99.17	19.42
33	-99.15	19.445
34	-99.155	19.405
35	-99.14	19.29
36	-99.115	19.3
37	-99.645	19.29
38	-99.17	19.38
39	-99.135	19.285
40	-99.19	19.35
41	-99.19	19.43
42	-99.14	19.445
43	-99.255	19.39
44	-99.17	19.41
45	-99.12	18.895
46	-99.175	19.39
47	-99.165	19.435
48	-99.165	19.375
49	-99.175	19.285
50	-99.145	19.35
51	-99.2	41.778
52	-99.255	19.385
53	-99.05	19.395
54	-99.155	19.38
55	-99.14	19.38
56	-99.275	19.345
57	-99.29	19.36
58	-103.41	20.675
59	-99.195	19.43
60	-99.18	19.37
61	-99.14	19.435
62	-99.165	19.425
63	-100.31	25.635
64	-99.175	19.47
65	-99.14	19.545
66	-99.16	19.425
67	-99.175	19.38
68	-99.195	41.778
69	-99.165	19.365
70	-103.345	20.675
71	-99.19	19.365
72	-99.16	19.37
73	-99.265	19.375
74	-99.165	19.415
75	-99.21	19.435
76	-99.165	19.395
77	-99.17	19.405
78	-100.29	25.645
79	-99.21	19.43
80	-99.19	19.345
81	-99.155	19.505
82	-99.135	19.49
83	-100.28	25.635
84	-99.1	19.355
85	-99.19	19.595
86	-100.4	25.735
87	-99.14	19.285
88	-99.105	19.42
89	-99.22	19.445
90	-99.125	19.37
91	-99.13	19.35
92	-99.2	19.435
93	-99.185	19.435
94	-99.2	19.305
95	-99.215	19.33
96	-99.21	41.717
97	-99.185	19.355
98	-99.105	19.295
99	-99.18	19.455
100	-99.165	19.42
101	-99.195	19.44
102	-99.15	19.345
103	-99.06	19.305
104	-99.13	19.43
105	-99.12	19.305
106	-99.14	19.465
107	-99.18	19.43
108	-103.32	20.645
109	-99.125	19.325
110	-99.085	19.44
111	-99.155	41.717
112	-99.185	19.35
113	-99.14	19.365
114	-99.135	19.425
115	-99.185	19.44
116	-100.355	25.68
117	-99.2	19.44
118	-99.21	19.335
119	-99.12	19.44
120	-103.35	20.675
121	-99.175	19.385
122	-99.265	19.365
123	-99.105	19.41
124	-99.175	19.41
125	-103.275	20.625
126	-100.285	25.665
127	-99.19	19.435
128	-99.145	19.43
129	-99.115	19.265
130	-99.195	19.34
131	-99.185	19.36
132	-100.27	25.61
133	-99.25	41.748
134	-99.17	19.415
135	-99.08	19.38
136	-100.315	25.64
137	-101.675	21.135
138	-99.165	19.41
139	-99.135	19.295
140	-99.21	19.425
141	-99.18	19.41
142	-99.135	41.717
143	-99.185	19.46
144	-99.255	19.36
145	-99.185	19.41
146	-99.195	19.305
147	-99.11	19.425
148	-99.17	19.435
149	-99.155	19.415
150	-99.15	19.34
151	-99.205	19.425
152	-100.275	25.65
153	-99.155	19.44
154	-99.175	19.435
155	-99.16	19.42
156	-99.22	19.45
157	-99.155	19.295
158	-99.135	19.34
159	-99.14	19.43
160	-99.155	19.345
161	-99.185	19.295
162	-99.045	19.345
163	-100.375	25.71
164	-103.34	20.675
165	-99.16	19.38
166	-99.21	19.33
167	-100.3	25.655
168	-99.175	19.42
169	-99.185	19.39
170	-99.08	19.44
171	-99.185	19.365
172	-99.125	19.41
173	-99.175	19.425
174	-99.22	19.31
175	-100.31	41.845
176	-99.155	19.43
177	-99.26	19.375
178	-99.17	19.31
179	-99.15	19.435
180	-99.11	19.38
181	-99.15	19.48
182	-99.19	41.748
183	-99.17	19.36
184	-99.19	19.355
185	-99.12	19.47
186	-99.105	19.485
187	-99.18	19.415
188	-99.155	19.435
189	-100.32	25.68
190	-99.185	19.405
191	-99.15	19.36
192	-99.21	19.32
193	-99.18	19.365
194	-100.35	25.69
195	-99.225	19.385
196	-99.19	19.34
197	-99.155	19.42
198	-99.12	19.29
199	-99.18	19.39
200	-100.315	25.67
201	-99.165	19.405
202	-99.13	19.45
203	-99.125	19.265
204	-99.18	19.295
205	-99.125	19.315
206	-99.215	19.325
207	-99.135	19.455
208	-99.16	19.39
209	-103.375	20.68
210	-99.105	19.375
211	-99.15	41.717
212	-99.155	19.39
213	-99.185	19.38
214	-99.155	19.37
215	-99.12	19.335
216	-103.36	20.675
217	-99.22	19.42
218	-99.225	19.315
219	-99.24	19.405
220	-99.12	19.36
221	-99.21	41.748
222	-99.19	19.375
223	-99.12	19.38
224	-99.045	19.39
225	-99.14	19.42
226	-99.15	19.495
227	-99.175	19.415
228	-103.37	20.675
229	-99.185	19.445
230	-99.22	19.385
231	-100.39	25.725
232	-99.155	41.748
233	-99.175	19.37
234	-99.14	19.325
235	-99.12	41.717
236	-99.095	19.415
237	-99.17	41.717
238	-100.36	25.71
239	-99.005	19.335
240	-99.105	19.425
241	-100.345	25.705
242	-99.06	19.385
243	-99.165	19.35
244	-100.32	25.67
245	-99.16	19.435
246	-99.13	19.32
247	-99.17	19.365
248	-99.21	19.37
249	-99.155	19.53
250	-99.215	19.295
251	-100.33	25.71
252	-99.2	19.355
253	-99.125	19.42
254	-99.115	19.475
255	-99.055	19.345
256	-100.315	25.665
257	-99.095	19.42
258	-99.175	19.375
259	-100.255	25.585
260	-99.16	19.375
261	-99.125	19.475
262	-99.16	19.445
263	-99.255	19.37
264	-99.17	19.285
265	-99.125	19.31
266	-99.13	19.415
267	-99.19	19.36
268	-99.27	19.36
269	-103.28	20.69
270	-103.385	20.695
271	-100.285	25.635
272	-99.2	19.39
273	-99.135	41.748
274	-103.37	20.685
275	-103.32	20.715
276	-99.155	19.335
277	-99.28	19.36
278	-99.035	19.345
279	-99.18	19.405
280	-99.14	19.32
281	-99.16	19.29
282	-99.115	19.415
283	-99.215	19.355
284	-103.345	20.665
285	-99.105	19.355
286	-99.06	19.295
287	-99.2	19.365
288	-99.19	19.405
289	-99.2	19.34
290	-99.21	19.365
291	-99.155	19.33
292	-99.14	41.717
293	-99.145	19.435
294	-99.265	19.36
295	-99.11	19.39
296	-99.215	19.43
297	-99.215	19.44
298	-100.27	25.685
299	-99.285	19.365
300	-103.38	41.84
301	-99.175	19.44
302	-99.16	19.295
303	-100.15	25.43
304	-99.16	19.415
305	-103.39	20.68
306	-99.2	19.36
307	-99.295	19.35
308	-99.145	19.495
309	-99.18	19.385
310	-99.16	41.778
311	-99.135	19.325
312	-103.39	20.675
313	-99.02	19.325
314	-103.375	41.84
315	-99.175	19.43
316	-100.27	25.605
317	-103.405	20.675
318	-99.115	19.325
319	-100.35	25.705
320	-100.38	25.695
321	-100.31	25.665
322	-99.105	19.31
323	-99.2	19.345
324	-99.185	19.465
325	-99.08	19.465
326	-99.175	19.405
327	-99.15	19.505
328	-99.24	19.335
329	-99.18	19.38
330	-99.15	19.42
331	-99.125	19.43
332	-99.13	19.49
333	-103.345	20.705
334	-99.175	19.29
335	-99.08	19.32
336	-99.11	19.435
337	-99.145	19.32
338	-99.28	19.375
339	-99.165	19.38
340	-100.26	25.59
341	-100.415	25.76
342	-100.355	25.685
343	-100.31	25.675
344	-99.145	19.46
345	-99.17	19.375
346	-99.105	19.32
347	-99.17	19.39
348	-99.135	19.445
349	-99.165	19.355
350	-99.125	19.49
351	-99.135	19.495
352	-100.345	25.69
353	-99.125	19.51
354	-99.07	19.435
355	-99.19	19.39
356	-100.395	25.725
357	-99.185	19.48
358	-100.295	25.68
359	-99.24	19.47
360	-99.2	19.335
361	-99.18	41.748
362	-100.37	25.705
363	-100.275	25.625
364	-99.13	19.24
365	-99.16	19.44
366	-99.25	19.34
367	-99.19	19.44
368	-99.185	19.395
369	-99.125	41.717
370	-99.16	19.385
371	-103.395	20.68
372	-100.295	25.655
373	-103.35	20.665
374	-99.185	19.385
375	-100.365	41.845
376	-99.02	19.375
377	-99.125	19.365
378	-99.12	19.545
379	-99.17	19.295
380	-99.16	19.495
381	-100.365	25.68
382	-99.175	19.335
383	-99.145	19.385
384	-100.355	25.675
385	-99.185	19.335
386	-99.205	19.42
387	-103.365	41.84
388	-99.12	19.32
389	-99.15	19.44
390	-99.13	19.425
391	-99.11	41.717
392	-99.185	19.37
393	-99.155	19.385
394	-99.155	19.425
395	-100.38	25.735
396	-99.25	19.39
397	-103.36	20.705
398	-99.14	19.48
399	-99.21	19.395
400	-99.2	19.395
401	-99.235	19.305
402	-99.13	19.395
403	-99.135	19.28
404	-99.165	19.325
405	-103.385	20.675
406	-100.34	25.685
407	-103.28	20.64
408	-99.07	19.31
409	-99.12	19.35
410	-100.345	25.71
411	-99.17	19.525
412	-99.155	19.445
413	-100.365	25.675
414	-103.36	20.655
415	-99.14	19.31
416	-99.095	19.32
417	-100.29	25.675
418	-100.27	25.63
419	-99.275	19.36
420	-99.105	19.415
421	-103.385	20.655
422	-99.215	19.445
423	-99.11	19.305
424	-100.33	25.685
425	-99.125	19.295
426	-99.125	19.425
427	-103.325	20.695
428	-99.08	19.385
429	-99.17	19.44
430	-99.165	19.465
431	-116.955	32.49
432	-99.155	19.365
433	-103.39	20.685
434	-99.14	19.415
435	-103.38	20.675
436	-99.22	19.34
437	-99.09	19.415
438	-99.1	19.47
439	-99.175	19.345
440	-99.205	19.505
441	-99.155	19.41
442	-103.385	41.84
443	-99.09	19.385
444	-99.125	19.465
445	-103.36	20.665
446	-99.02	19.25
447	-99.18	19.46
448	-100.385	25.715
449	-103.335	20.675
450	-103.305	20.635
451	-100.345	25.67
452	-100.26	25.685
453	-99.17	19.37
454	-103.365	20.675
455	-99.065	19.305
456	-99.145	19.48
457	-99.22	19.32
458	-99.18	19.465
459	-99.185	19.34
460	-99.17	19.345
461	-99.165	19.28
462	-103.325	20.66
463	-99.005	19.345
464	-99.13	19.435
465	-99.165	19.445
466	-99.165	19.29
467	-99.245	19.39
468	-99.145	19.45
469	-99.125	19.485
470	-99.075	19.32
471	-99.155	19.325
472	-99.135	19.55
473	-100.35	25.675
474	-99.165	19.39
475	-100.345	25.685
476	-100.395	25.73
477	-103.315	20.725
478	-99.15	19.39
479	-99.22	19.44
480	-99.175	19.305
481	-99.165	19.385
482	-99.13	19.335
483	-99.185	19.43
484	-103.32	20.73
485	-99.185	19.375
486	-99.24	19.32
487	-103.375	20.67
488	-100.395	25.735
489	-99.145	19.39
490	-99.115	19.34
491	-99.16	19.35
492	-99.205	19.335
493	-103.4	20.675
494	-99.165	41.748
495	-103.34	20.66
496	-99.25	19.36
497	-99.225	19.34
498	-100.295	25.66
